ID,TARGET
1,1
2,3
3,2
4,2
5,0
6,2
7,2
8,4
9,3
10,4
11,2
12,0
13,0
14,2
15,1
16,4
17,2
18,0
19,0
20,4
21,3
22,2
23,2
24,3
25,4
26,4
27,0
28,3
29,4
30,1
31,2
32,0
33,3
34,0
35,4
36,4
37,1
38,2
39,3
40,0
41,2
42,4
43,2
44,0
45,2
46,4
47,2
48,3
49,2
50,3
51,2
52,4
53,1
54,1
55,3
56,3
57,1
58,4
59,4
60,2
61,3
62,4
63,0
64,2
65,2
66,1
67,3
68,4
69,4
70,2
71,3
72,3
73,3
74,1
75,4
76,3
77,1
78,0
79,2
80,4
81,4
82,2
83,0
84,1
85,2
86,1
87,1
88,1
89,0
90,0
91,1
92,3
93,4
94,0
95,3
96,3
97,4
98,1
99,3
100,3
101,3
102,1
103,1
104,0
105,0
106,3
107,1
108,1
109,4
110,3
111,0
112,4
113,1
114,0
115,3
116,1
117,3
118,4
119,4
120,4
121,2
122,3
123,4
124,4
125,3
126,4
127,3
128,1
129,3
130,3
131,2
132,1
133,2
134,4
135,3
136,1
137,2
138,3
139,0
140,2
141,1
142,2
143,2
144,2
145,4
146,0
147,1
148,1
149,1
150,3
151,1
152,1
153,0
154,3
155,3
156,2
157,4
158,3
159,3
160,0
161,1
162,3
163,3
164,4
165,0
166,4
167,3
168,3
169,0
170,2
171,2
172,3
173,3
174,4
175,4
176,4
177,1
178,3
179,1
180,2
181,3
182,3
183,0
184,3
185,2
186,3
187,1
188,3
189,1
190,4
191,4
192,0
193,3
194,4
195,4
196,0
197,0
198,3
199,1
200,3
201,1
202,0
203,2
204,3
205,2
206,1
207,3
208,2
209,2
210,3
211,2
212,3
213,2
214,0
215,3
216,0
217,4
218,0
219,2
220,1
221,0
222,0
223,0
224,1
225,1
